Cirkel_11_chips,Cirkel_12_chips,Cirkel_11_LDPE,Cirkel_12_LDPE,Cirkel_11_witte_zak,Cirkel_12_witte_zak,Driehoek_12_witte_zak,Driehoek_11_witte_zak,Driehoek_11_LDPE,Driehoek_12_LDPE,Driehoek_12_chips,Driehoek_11_chips,Vierkant_11_chips,Vierkant_12_chips,Vierkant_11_LDPE,Vierkant_12_LDPE,Vierkant_11_witte_zak,Vierkant_12_witte_zak
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.80,14.80,14.77,14.79,14.79,14.76,14.76
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.81,14.80,14.77,14.79,14.79,14.76,14.76
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.82,14.79,14.77,14.77,14.79,14.76,14.76
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.77,14.77,14.77,14.78,14.83,14.79,14.77,14.77,14.79,14.76,14.77
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.84,14.79,14.77,14.77,14.79,14.77,14.77
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.85,14.79,14.77,14.77,14.78,14.77,14.77
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.85,14.79,14.77,14.77,14.78,14.78,14.78
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.82,14.79,14.77,14.77,14.78,14.83,14.80
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.77,14.77,14.77,14.78,14.86,14.79,14.77,14.77,14.78,15.13,14.82
14.76,14.92,14.80,15.10,14.78,14.92,14.77,14.76,14.77,14.77,14.78,14.98,14.79,14.77,14.78,14.78,15.99,14.83
14.76,14.92,14.80,15.11,14.78,14.92,14.77,14.77,14.77,14.77,14.78,15.11,14.79,14.77,14.78,14.78,16.81,14.82
14.76,14.92,14.80,15.11,14.78,14.95,14.77,14.77,14.77,14.77,14.78,15.46,14.79,14.77,14.78,14.78,17.28,14.83
14.76,14.92,14.80,15.11,14.78,14.97,14.77,14.77,14.77,14.78,14.78,15.89,14.80,14.77,14.80,14.78,16.91,14.83
14.76,14.92,14.80,15.12,14.78,15.04,14.77,14.77,14.78,14.81,14.78,16.39,14.80,14.77,14.79,14.78,15.14,14.85
14.77,14.92,14.80,15.12,14.78,15.29,14.77,14.78,14.79,14.86,14.78,16.80,14.81,14.77,14.79,14.78,14.86,14.88
14.77,14.92,14.80,15.12,14.78,15.97,14.77,14.79,14.83,15.05,14.78,17.04,14.84,14.77,14.78,14.78,14.79,14.91
14.77,14.92,14.80,15.13,14.80,17.05,14.77,14.80,14.94,15.95,14.79,17.41,14.95,14.78,14.79,14.79,14.78,15.02
14.78,14.92,14.80,15.19,14.84,17.91,14.77,14.81,15.49,16.88,14.81,17.98,15.13,14.79,14.81,14.81,14.77,15.17
14.79,14.92,15.00,15.46,15.01,18.63,14.78,14.86,17.10,17.93,14.82,18.61,15.44,14.82,14.88,14.88,14.77,15.40
14.84,14.92,15.50,16.27,15.51,16.85,14.81,15.05,18.71,19.14,14.96,19.40,15.82,14.90,15.19,15.09,14.76,15.58
15.05,14.93,16.30,17.26,16.05,15.92,14.95,15.37,20.32,20.29,15.34,20.42,16.23,14.98,15.86,15.70,14.76,15.76
15.48,14.99,17.40,18.18,16.59,15.35,15.33,15.72,22.07,21.44,16.48,21.54,16.66,15.12,16.74,16.60,14.76,15.94
16.56,15.38,18.40,19.19,17.05,15.12,16.85,16.07,23.63,22.74,17.84,50.94,17.17,15.53,17.68,17.48,14.76,16.16
17.99,16.64,19.40,20.13,17.39,16.83,18.37,16.45,25.05,24.00,19.28,22.69,17.89,16.19,18.65,18.40,14.76,16.09
19.44,17.91,20.50,21.03,17.68,20.56,19.62,16.95,26.13,25.28,20.99,23.95,18.69,17.04,19.63,19.28,18.66,16.25
20.79,19.32,21.30,21.76,17.89,21.62,20.23,17.50,27.10,26.44,22.78,25.27,19.66,17.92,20.40,20.01,21.27,16.66
16.64,15.67,16.90,15.79,17.68,21.59,15.72,15.06,14.96,16.74,15.83,18.30,18.69,15.32,15.66,15.28,20.64,16.48
14.69,15.60,14.70,14.64,15.23,21.34,15.67,14.87,14.77,14.97,14.97,15.54,18.21,14.84,14.77,14.71,19.52,15.34
14.76,15.03,14.70,14.76,14.86,19.44,14.60,14.81,14.76,14.77,14.76,14.71,17.23,14.77,14.77,14.77,18.44,14.78
14.76,14.77,14.70,14.76,14.74,15.31,14.76,14.78,14.76,14.76,14.77,14.77,15.77,14.77,14.77,14.77,16.94,14.76
14.76,14.76,14.70,14.76,14.76,14.77,14.76,14.77,14.76,14.76,14.77,14.77,15.12,14.77,14.77,14.76,15.13,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.77,14.76,14.76,14.77,14.77,14.88,14.77,14.77,14.77,14.74,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.84,14.77,14.77,14.76,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.82,14.77,14.77,14.77,14.76,14.76
14.76,50.94,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.81,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,14.80,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.79,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.79,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.96,14.76,14.76,14.76,14.76,14.77,14.77,14.78,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.78,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,14.78,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,50.94,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.77
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,50.94,14.77,14.78,14.77,50.94,14.77,14.77,14.76,14.76
50.94,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.77
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,50.94
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.77,50.94,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,50.94,14.76,14.76,14.76,50.94,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,50.94,14.77,14.77,14.77,50.94,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,50.94,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,50.94,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.77,14.76,14.77,14.77,50.94,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
14.76,14.76,14.70,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.77,14.77,14.77,14.77,14.77,14.77,14.76,14.76
